"HCQ240.Code.or.Value","HCQ240.Value.Description","HCQ240.Count","HCQ240.Cumulative","HCQ240.Skip.to.Item"
"1","True",34,34,NA
"2","False",0,34,NA
"7","Refused",0,34,NA
"9","Don't know",0,34,NA
".","Missing",44,78,NA
