"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.59 to 8.28","Range of Values",3171,3171,NA
".","Missing",744,3915,NA
