"URDTNE6.Code.or.Value","URDTNE6.Value.Description","URDTNE6.Count","URDTNE6.Cumulative","URDTNE6.Skip.to.Item"
"0.3283 to 428","Range of Values",977,977,NA
".","Missing",1485,2462,NA
