"URDCPMLC.Code.or.Value","URDCPMLC.Value.Description","URDCPMLC.Count","URDCPMLC.Cumulative","URDCPMLC.Skip.to.Item"
"0","At or above the detection limit",2482,2482,NA
"1","Below lower detection limit",106,2588,NA
".","Missing",106,2694,NA
