"LBCF04LA.Code.or.Value","LBCF04LA.Value.Description","LBCF04LA.Count","LBCF04LA.Cumulative","LBCF04LA.Skip.to.Item"
"0.1202 to 9","Range of Values",290,290,NA
".","Missing",11,301,NA
