"DRD370K.Code.or.Value","DRD370K.Value.Description","DRD370K.Count","DRD370K.Cumulative","DRD370K.Skip.to.Item"
"1","Yes",147,147,""
"2","No",4974,5121,"DRD370L"
".","Missing",4692,9813,""
