"DS2TSELE.Code.or.Value","DS2TSELE.Value.Description","DS2TSELE.Count","DS2TSELE.Cumulative","DS2TSELE.Skip.to.Item"
"1 to 600","Range of Values",806,806,NA
".","Missing",8738,9544,NA
