"LB2DAY.Code.or.Value","LB2DAY.Value.Description","LB2DAY.Count","LB2DAY.Cumulative","LB2DAY.Skip.to.Item"
"3 to 47","Range of Values",544,544,NA
".","Missing",2,546,NA
