"DR1TP205.Code.or.Value","DR1TP205.Value.Description","DR1TP205.Count","DR1TP205.Cumulative","DR1TP205.Skip.to.Item"
"0 to 1.775","Range of Values",8327,8327,NA
".","Missing",1217,9544,NA
