"PAXQFH.Code.or.Value","PAXQFH.Value.Description","PAXQFH.Count","PAXQFH.Cumulative","PAXQFH.Skip.to.Item"
"0 to 165","Range of Values",1477045,1477045,NA
".","Missing",0,1477045,NA
