"CSQ120G.Code.or.Value","CSQ120G.Value.Description","CSQ120G.Count","CSQ120G.Cumulative","CSQ120G.Skip.to.Item"
"7","Bad or Foul",46,46,NA
".","Missing",3557,3603,NA
