"DSQTVB2.Code.or.Value","DSQTVB2.Value.Description","DSQTVB2.Count","DSQTVB2.Cumulative","DSQTVB2.Skip.to.Item"
"0 to 673.3","Range of Values",2330,2330,NA
".","Missing",8207,10537,NA
