"CIQG29.Code.or.Value","CIQG29.Value.Description","CIQG29.Count","CIQG29.Cumulative","CIQG29.Skip.to.Item"
"0 to 365","Range of Values",67,67,NA
"777","Refused",0,67,NA
"999","Don't know",1,68,NA
".","Missing",860,928,NA
