"DR1TALCO.Code.or.Value","DR1TALCO.Value.Description","DR1TALCO.Count","DR1TALCO.Cumulative","DR1TALCO.Skip.to.Item"
"0 to 421.2","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
