"DRD370SQ.Code.or.Value","DRD370SQ.Value.Description","DRD370SQ.Count","DRD370SQ.Cumulative","DRD370SQ.Skip.to.Item"
"1 to 10","Range of Values",27,27,NA
".","Missing",9786,9813,NA
