"AUXR2KL.Code.or.Value","AUXR2KL.Value.Description","AUXR2KL.Count","AUXR2KL.Cumulative","AUXR2KL.Skip.to.Item"
"0 to 105","Range of Values",19,19,NA
"666","No response",0,19,NA
"888","Could not obtain",0,19,NA
".","Missing",4481,4500,NA
