"LBC101LA.Code.or.Value","LBC101LA.Value.Description","LBC101LA.Count","LBC101LA.Cumulative","LBC101LA.Skip.to.Item"
"0.18 to 2.98","Range of Values",247,247,NA
".","Missing",0,247,NA
