"DX2LLFAT.Code.or.Value","DX2LLFAT.Value.Description","DX2LLFAT.Count","DX2LLFAT.Cumulative","DX2LLFAT.Skip.to.Item"
"980.9 to 16774.1","Range of Values",467,467,NA
".","Missing",18,485,NA
