"SLQ180.Code.or.Value","SLQ180.Value.Description","SLQ180.Count","SLQ180.Cumulative","SLQ180.Skip.to.Item"
"1","Don't do this activity for other reasons",41,41,NA
"2","No difficulty",4895,4936,NA
"3","Yes, a little difficulty",965,5901,NA
"4","Yes, moderate difficulty",165,6066,NA
"5","Yes, extreme difficulty",59,6125,NA
"7","Refused",2,6127,NA
"9","Don't know",12,6139,NA
".","Missing",0,6139,NA
