"LBDCOTLC.Code.or.Value","LBDCOTLC.Value.Description","LBDCOTLC.Count","LBDCOTLC.Cumulative","LBDCOTLC.Skip.to.Item"
"0","At or above the detection limit",5377,5377,NA
"1","Below lower detection limit",2001,7378,NA
".","Missing",1057,8435,NA
