"OSQ020a.Code.or.Value","OSQ020a.Value.Description","OSQ020a.Count","OSQ020a.Cumulative","OSQ020a.Skip.to.Item"
"1 to 2","Range of Values",90,90,""
"7777","Refused",0,90,"OSQ010b"
"9999","Don't know",0,90,"OSQ010b"
".","Missing",6128,6218,""
