"FSD200.Code.or.Value","FSD200.Value.Description","FSD200.Count","FSD200.Cumulative","FSD200.Skip.to.Item"
"1","Yes",473,473,NA
"2","No",75,548,NA
"7","Refused",0,548,NA
"9","Don't know",2,550,NA
".","Missing",9415,9965,NA
