"SSMTBRSG.Code.or.Value","SSMTBRSG.Value.Description","SSMTBRSG.Count","SSMTBRSG.Cumulative","SSMTBRSG.Skip.to.Item"
"0 to 2","Range of Values",4265,4265,NA
".","Missing",0,4265,NA
