"DS2IMAGN.Code.or.Value","DS2IMAGN.Value.Description","DS2IMAGN.Count","DS2IMAGN.Cumulative","DS2IMAGN.Skip.to.Item"
"0.15 to 2000","Range of Values",1693,1693,NA
".","Missing",4210,5903,NA
