"URXTRS.Code.or.Value","URXTRS.Value.Description","URXTRS.Count","URXTRS.Cumulative","URXTRS.Skip.to.Item"
"1.6 to 2780","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
