"PAQ724e.Code.or.Value","PAQ724e.Value.Description","PAQ724e.Count","PAQ724e.Cumulative","PAQ724e.Skip.to.Item"
"5","CHEERLEADING",42,42,NA
".","Missing",9442,9484,NA
