"BMIWAIST.Code.or.Value","BMIWAIST.Value.Description","BMIWAIST.Count","BMIWAIST.Cumulative","BMIWAIST.Skip.to.Item"
"1","Could not obtain",439,439,NA
".","Missing",9374,9813,NA
