"BIXS015K.Code.or.Value","BIXS015K.Value.Description","BIXS015K.Count","BIXS015K.Cumulative","BIXS015K.Skip.to.Item"
"282.17 to 1028.32","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
