"ENQ050.Code.or.Value","ENQ050.Value.Description","ENQ050.Count","ENQ050.Cumulative","ENQ050.Skip.to.Item"
"1","Yes",54,54,NA
"2","No",5501,5555,NA
"7","Refused",0,5555,NA
"9","Don't know",0,5555,NA
".","Missing",1940,7495,NA
