"DXDHEPF.Code.or.Value","DXDHEPF.Value.Description","DXDHEPF.Count","DXDHEPF.Cumulative","DXDHEPF.Skip.to.Item"
"22.2 to 29.5","Range of Values",5379,5379,NA
".","Missing",654,6033,NA
