"PAQ724b.Code.or.Value","PAQ724b.Value.Description","PAQ724b.Count","PAQ724b.Cumulative","PAQ724b.Skip.to.Item"
"2","BASEBALL/SOFTBALL/CATCH/PITCHING",220,220,NA
".","Missing",9264,9484,NA
