"AUXR5CR.Code.or.Value","AUXR5CR.Value.Description","AUXR5CR.Count","AUXR5CR.Cumulative","AUXR5CR.Skip.to.Item"
"5 to 90","Range of Values",16,16,NA
"666","No response",1,17,NA
"888","Could not obtain",0,17,NA
".","Missing",1790,1807,NA
