"DR2IP183.Code.or.Value","DR2IP183.Value.Description","DR2IP183.Count","DR2IP183.Cumulative","DR2IP183.Skip.to.Item"
"0 to 7.945","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
