"OPXSPHDD.Code.or.Value","OPXSPHDD.Value.Description","OPXSPHDD.Count","OPXSPHDD.Cumulative","OPXSPHDD.Skip.to.Item"
"0","No",2196,2196,NA
"2","Yes",288,2484,NA
"9","No photos of eye",20,2504,NA
".","Missing",430,2934,NA
