"DSQTVK.Code.or.Value","DSQTVK.Value.Description","DSQTVK.Count","DSQTVK.Cumulative","DSQTVK.Skip.to.Item"
"0.3 to 600","Range of Values",1209,1209,NA
".","Missing",8762,9971,NA
