"LBX2DF.Code.or.Value","LBX2DF.Value.Description","LBX2DF.Count","LBX2DF.Cumulative","LBX2DF.Skip.to.Item"
"0.0078 to 0.44","Range of Values",2745,2745,NA
".","Missing",670,3415,NA
