"LBXVXY.Code.or.Value","LBXVXY.Value.Description","LBXVXY.Count","LBXVXY.Cumulative","LBXVXY.Skip.to.Item"
"0.0358 to 14.3","Range of Values",296,296,NA
".","Missing",555,851,NA
