"DSQIPROT.Code.or.Value","DSQIPROT.Value.Description","DSQIPROT.Count","DSQIPROT.Cumulative","DSQIPROT.Skip.to.Item"
"0.001 to 54","Range of Values",235,235,NA
".","Missing",8882,9117,NA
