"LBX183LA.Code.or.Value","LBX183LA.Value.Description","LBX183LA.Count","LBX183LA.Cumulative","LBX183LA.Skip.to.Item"
"1.3 to 51","Range of Values",1928,1928,NA
".","Missing",346,2274,NA
