"LBXMOPCT.Code.or.Value","LBXMOPCT.Value.Description","LBXMOPCT.Count","LBXMOPCT.Cumulative","LBXMOPCT.Skip.to.Item"
"0.9 to 33.4","Range of Values",8353,8353,NA
".","Missing",826,9179,NA
