"MCQ160n.Code.or.Value","MCQ160n.Value.Description","MCQ160n.Count","MCQ160n.Cumulative","MCQ160n.Skip.to.Item"
"1","Yes",239,239,NA
"2","No",5316,5555,NA
"7","Refused",1,5556,NA
"9","Don't know",3,5559,NA
".","Missing",3805,9364,NA
