"URXSMM.Code.or.Value","URXSMM.Value.Description","URXSMM.Count","URXSMM.Cumulative","URXSMM.Skip.to.Item"
"0.035 to 0.035","Range of Values",2067,2067,NA
".","Missing",545,2612,NA
