"DSD010AN.Code.or.Value","DSD010AN.Value.Description","DSD010AN.Count","DSD010AN.Cumulative","DSD010AN.Skip.to.Item"
"1","Yes",834,834,NA
"2","No",9506,10340,NA
"7","Refused",5,10345,NA
"9","Don't know",3,10348,NA
".","Missing",0,10348,NA
