"MCQ370c.Code.or.Value","MCQ370c.Value.Description","MCQ370c.Count","MCQ370c.Cumulative","MCQ370c.Skip.to.Item"
"1","Yes",3062,3062,NA
"2","No",3109,6171,NA
"7","Refused",1,6172,NA
"9","Don't know",2,6174,NA
".","Missing",3190,9364,NA
