"LBDTCSI.Code.or.Value","LBDTCSI.Value.Description","LBDTCSI.Count","LBDTCSI.Cumulative","LBDTCSI.Skip.to.Item"
"1.84 to 18.8","Range of Values",8287,8287,NA
".","Missing",975,9262,NA
