"DR1IVC.Code.or.Value","DR1IVC.Value.Description","DR1IVC.Count","DR1IVC.Cumulative","DR1IVC.Skip.to.Item"
"0 to 1043.3","Range of Values",130285,130285,NA
".","Missing",879,131164,NA
