"DXXTRFAT.Code.or.Value","DXXTRFAT.Value.Description","DXXTRFAT.Count","DXXTRFAT.Cumulative","DXXTRFAT.Skip.to.Item"
"1170.2 to 49425.8","Range of Values",5288,5288,NA
".","Missing",745,6033,NA
