"BPXML1.Code.or.Value","BPXML1.Value.Description","BPXML1.Count","BPXML1.Cumulative","BPXML1.Skip.to.Item"
"100 to 260","Range of Values",7828,7828,NA
"888","Could not obtain",0,7828,NA
".","Missing",2425,10253,NA
