"WBXA064.Code.or.Value","WBXA064.Value.Description","WBXA064.Count","WBXA064.Cumulative","WBXA064.Skip.to.Item"
"-2.2849 to 0.9999","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
