"LBC028LA.Code.or.Value","LBC028LA.Value.Description","LBC028LA.Count","LBC028LA.Cumulative","LBC028LA.Skip.to.Item"
"0.2333 to 6.202","Range of Values",265,265,NA
".","Missing",0,265,NA
