"DR2IKCAL.Code.or.Value","DR2IKCAL.Value.Description","DR2IKCAL.Count","DR2IKCAL.Cumulative","DR2IKCAL.Skip.to.Item"
"0 to 3738","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
