"DR2TP205.Code.or.Value","DR2TP205.Value.Description","DR2TP205.Count","DR2TP205.Cumulative","DR2TP205.Skip.to.Item"
"0 to 3.484","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
