"AUAFMANL.Code.or.Value","AUAFMANL.Value.Description","AUAFMANL.Count","AUAFMANL.Cumulative","AUAFMANL.Skip.to.Item"
"1","None",1140,1140,NA
"2","500 Hz",0,1140,NA
"3","1000 Hz",1,1141,NA
"4","2000 Hz",3,1144,NA
"5","3000 Hz",0,1144,NA
"6","4000 Hz",0,1144,NA
"7","6000 Hz",1,1145,NA
"8","8000 Hz",0,1145,NA
".","Missing",65,1210,NA
