"DTD140Q.Code.or.Value","DTD140Q.Value.Description","DTD140Q.Count","DTD140Q.Cumulative","DTD140Q.Skip.to.Item"
"0 to 30","Range of Values",7849,7849,NA
"777","Refused",3,7852,NA
"999","Don't know",4,7856,NA
".","Missing",685,8541,NA
