"DR1TP205.Code.or.Value","DR1TP205.Value.Description","DR1TP205.Count","DR1TP205.Cumulative","DR1TP205.Skip.to.Item"
"0 to 1.781","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
