"HCQ121.Code.or.Value","HCQ121.Value.Description","HCQ121.Count","HCQ121.Cumulative","HCQ121.Skip.to.Item"
"1","Yes",12,12,""
"2","No",4,16,"HCQ150"
"7","Refused",0,16,"HCQ150"
"9","Don't know",0,16,"HCQ150"
".","Missing",62,78,""
