"OPDDIRMA.Code.or.Value","OPDDIRMA.Value.Description","OPDDIRMA.Count","OPDDIRMA.Cumulative","OPDDIRMA.Skip.to.Item"
"0","None",2351,2351,NA
"1","Questionable",21,2372,NA
"2","< 8A",27,2399,NA
"3",">= 8A",5,2404,NA
".","Missing",530,2934,NA
