"LBXPFUA.Code.or.Value","LBXPFUA.Value.Description","LBXPFUA.Count","LBXPFUA.Cumulative","LBXPFUA.Skip.to.Item"
"0.07 to 77.4","Range of Values",2168,2168,NA
".","Missing",171,2339,NA
