"DR1TVB12.Code.or.Value","DR1TVB12.Value.Description","DR1TVB12.Count","DR1TVB12.Cumulative","DR1TVB12.Skip.to.Item"
"0 to 205.21","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
