"BMXSAD1.Code.or.Value","BMXSAD1.Value.Description","BMXSAD1.Count","BMXSAD1.Cumulative","BMXSAD1.Skip.to.Item"
"10 to 40.4","Range of Values",6795,6795,NA
".","Missing",2543,9338,NA
