"URXUTRI.Code.or.Value","URXUTRI.Value.Description","URXUTRI.Count","URXUTRI.Cumulative","URXUTRI.Skip.to.Item"
"1","Positive",71,71,NA
"2","Negative",3986,4057,NA
"3","Indeterminate",0,4057,NA
".","Missing",82,4139,NA
