"LBXPFBS.Code.or.Value","LBXPFBS.Value.Description","LBXPFBS.Count","LBXPFBS.Cumulative","LBXPFBS.Skip.to.Item"
"0.07 to 7","Range of Values",2120,2120,NA
".","Missing",203,2323,NA
