"MPQ120f.Code.or.Value","MPQ120f.Value.Description","MPQ120f.Count","MPQ120f.Cumulative","MPQ120f.Skip.to.Item"
"15","Upper arm - left",72,72,NA
".","Missing",5339,5411,NA
