"OSQ120h.Code.or.Value","OSQ120h.Value.Description","OSQ120h.Count","OSQ120h.Cumulative","OSQ120h.Skip.to.Item"
"1","Yes",0,0,""
"2","No",2,2,"OSQ060"
"7","Refused",0,2,"OSQ060"
"9","Don't know",0,2,"OSQ060"
".","Missing",3813,3815,""
